Equipo,Grupo,Img,nombreExcel,nombreExcelen,Id
"NO ESPECIFICADO","0","no_equipo","NO ESPECIFICADO","NO ESPECIFICADO",33
"Uruguay","A","no_equipo","Uruguay","Uruguay",4
"Arabia Saudí","A","no_equipo","Arabia Saudí","Saudi Arabia",2
"España","B","no_equipo","España","Spain",6
"Dinamarca","C","no_equipo","Dinamarca","Denmark",12
"Argentina","D","no_equipo","Argentina","Argentina",13
"Islancia","D","no_equipo","Islancia","Iceland",14
"Nigeria","D","no_equipo","Nigeria","Nigeria",16
"Alemania","F","no_equipo","Alemania","Germany",21
"República de Corea","F","no_equipo","República de Corea","Korea Republic",24
"Bélgica","G","no_equipo","Bélgica","Belgium",25
"Panamá","G","no_equipo","Panamá","Panama",26
"Inglaterra","G","no_equipo","Inglaterra","England",28
"Polonia","H","no_equipo","Polonia","Poland",29
"Senegal","H","no_equipo","Senegal","Senegal",30
"Colombia","H","no_equipo","Colombia","Colombia",31
"Japón","H","no_equipo","Japón","Japan",32
"Suiza","E","no_equipo","Suiza","Switzerland",18
"Túnez","G","no_equipo","Túnez","Tunisia",27
"Rusia","A","no_equipo","Rusia","Russia",1
"Egipto","A","no_equipo","Egipto","Egypt",3
"Portugal","B","no_equipo","Portugal","Portugal",5
"Marruecos","B","no_equipo","Marruecos","Morocco",7
"Irán","B","no_equipo","Irán","IR Iran",8
"Francia","C","no_equipo","Francia","France",9
"Australia","C","no_equipo","Australia","Australia",10
"Perú","C","no_equipo","Perú","Peru",11
"Croacia","D","no_equipo","Croacia","Croatia",15
"Brasil","E","no_equipo","Brasil","Brazil",17
"Costa Rica","E","no_equipo","Costa Rica","Costa Rica",19
"Serbia","E","no_equipo","Serbia","Serbia",20
"México","F","no_equipo","México","Mexico",22
"Suecia","F","no_equipo","Suecia","Sweden",23